date,매출건수,매출금액,기온,습도,강수량,풍향,풍속,유동인구,미세먼지,초미세먼지
2020-05-16-6,12.487584650112867,204885.8374717833,18.086060948081265,80.22968397291196,0.0,194.0495979683973,1.0111735891647855,15674.889503386004,60.5,47.0
2020-05-17-1,6.381720430107527,88868.01075268818,21.657526881720432,67.34274193548387,0.0,285.0541559139785,0.25219408602150534,17170.129569892473,57.75,43.75
2020-05-17-2,9.88109756097561,107886.1493902439,22.777134146341464,65.84451219512195,0.0,304.0930268292683,1.1795896341463414,14818.378597560977,36.25,28.5
2020-05-17-3,14.40447504302926,273803.14113597246,18.393631669535285,85.47375215146299,0.0,331.3807927710843,0.7215975903614458,15352.808657487092,35.0,24.25
2020-05-17-4,15.530782029950084,256674.43427620633,18.070174708818634,86.62312811980033,0.0,129.24183743760398,0.557763227953411,16511.389717138103,54.5,38.25
2020-05-17-5,25.47925608011445,478963.8912732475,18.31942060085837,88.01859799713877,0.0,102.31959484978542,0.2429716738197425,16183.655593705293,62.25,43.5
2020-05-17-6,10.907090464547677,155839.7555012225,21.30158924205379,77.21638141809291,0.0,231.47224278728606,0.5604762836185819,15823.158606356968,53.25,39.75
2020-05-18-1,6.6891891891891895,73523.44594594595,25.013175675675676,51.63175675675676,0.0,150.4474689189189,4.39747027027027,16871.314121621625,47.75,36.25
2020-05-18-2,13.626436781609195,97122.04022988505,17.039080459770112,94.20258620689656,5.963074712643678,166.40374252873565,0.7423287356321839,16413.961810344827,55.75,40.25
2020-05-18-3,17.98861788617886,242242.74796747966,13.991951219512194,95.26544715447154,0.36699186991869914,222.6931504065041,2.021892520325203,20282.672341463414,85.5,57.75
2020-05-18-4,12.642140468227424,171381.65886287624,12.77579431438127,86.53386287625418,0.0,165.12390518394648,1.5189821070234115,20423.437157190634,44.0,24.75
2020-05-18-5,20.22268326417704,316981.3858921162,11.858921161825727,85.66078838174273,0.3716804979253112,154.6909062240664,1.494490456431535,17990.45091286307,9.5,8.25
2020-05-18-6,11.096938775510203,147366.82653061225,11.922448979591838,95.83482142857143,2.9269770408163267,51.23211556122449,1.7181364795918368,16585.77397959184,26.25,15.75
2020-05-19-1,5.510067114093959,69418.92617449665,15.881543624161074,65.43624161073825,0.2406040268456376,12.724743624161073,2.8041214765100673,17465.703355704696,33.5,18.0
2020-05-19-2,11.501501501501501,86161.35735735735,14.956156156156155,52.37837837837838,0.0,20.808232732732733,2.1041873873873875,17333.864354354355,16.75,9.75
2020-05-19-3,15.668885191347753,201361.67387687188,11.569925124792015,56.178868552412645,0.0,21.101641930116475,2.061624792013311,19235.284708818635,8.25,5.0
2020-05-19-4,14.534883720930232,226171.707641196,9.788538205980066,61.145348837209305,0.0,29.80331162790698,1.3211162790697675,20863.493671096345,4.25,1.0
2020-05-19-5,23.371313672922252,381442.4463806971,10.274396782841825,62.11528150134048,0.0,42.51942225201073,0.8217449061662199,18190.29572386059,4.25,4.0
2020-05-19-6,10.824096385542168,155367.66987951807,14.843795180722893,50.33855421686747,0.0,136.75176506024096,0.7811930120481928,16985.788987951808,3.75,3.0
2020-05-20-1,5.537037037037037,75232.92592592593,17.964043209876543,43.964506172839506,0.0,156.19723456790123,1.5443438271604937,17633.477592592593,3.0,1.0
2020-05-20-2,13.032876712328767,101817.78356164384,17.397876712328767,47.95205479452055,0.0,85.05012465753424,0.975737808219178,16958.808,6.0,1.75
2020-05-20-3,17.892628205128204,260915.8621794872,14.977884615384614,56.11298076923077,0.0,60.6461125,1.4407988782051282,20152.362612179488,5.25,1.0
2020-05-20-4,13.636217948717949,221531.98878205128,13.24375,63.59615384615385,0.0,61.03616730769232,1.6266884615384616,20891.199503205127,9.75,3.75
2020-05-20-5,24.940554821664463,434381.2602377807,12.670607661822984,58.71895640686922,0.0,66.95539669749009,2.2120204755614266,18651.150475561426,5.75,2.5
2020-05-20-6,10.872093023255815,165852.97209302324,17.718488372093024,42.77267441860465,0.0,130.09759069767443,1.3816130232558141,16814.870837209302,8.75,3.5
2020-05-21-1,5.858064516129033,76052.12903225806,21.2,39.791935483870965,0.0,158.33208838709677,0.8738316129032259,19007.599096774193,8.0,3.75
2020-05-21-2,13.901734104046243,106077.10115606936,21.003757225433528,43.04624277456647,0.0,251.61056011560692,0.4322705202312138,17705.73887283237,10.25,4.25
2020-05-21-3,17.15993788819876,237402.07453416148,17.893555900621116,55.35054347826087,0.0,89.83203478260869,0.7917375776397516,19984.005590062112,15.25,7.75
2020-05-21-4,14.7491961414791,247480.1109324759,15.928416398713827,65.78295819935691,0.0,307.2529273311897,0.8324606109324758,20216.17252411576,28.5,15.25
2020-05-21-5,25.48181818181818,431308.8558441558,15.437922077922078,69.07564935064936,0.0,63.61757207792208,0.904574935064935,18349.19574025974,42.75,28.25
2020-05-21-6,10.392935982339957,160901.00883002207,18.785651214128034,61.39955849889625,0.0,157.98655342163354,2.0624479028697573,17031.27558498896,50.25,33.0
2020-05-22-1,5.807017543859649,79201.40350877192,21.980263157894736,55.61842105263158,0.0,175.9948947368421,0.749421052631579,18035.98596491228,37.75,28.5
2020-05-22-2,12.588709677419354,105614.06720430107,20.48481182795699,61.50403225806452,0.0,297.7252069892473,0.754218817204301,16422.129005376344,45.0,32.75
2020-05-22-3,16.733436055469955,237733.50077041602,18.25550847457627,68.10477657935284,0.0,80.24431325115563,0.37298305084745764,20305.176317411402,50.5,34.25
2020-05-22-4,14.400630914826499,230732.67192429022,16.818296529968457,78.80875394321767,0.0,317.0136826498423,0.6362719242902208,20526.05757097792,63.0,43.75
2020-05-22-5,26.820253164556963,522773.3265822785,16.69107594936709,75.76012658227847,0.0,120.29719670886075,0.26067177215189874,18200.619189873418,67.5,46.0
2020-05-22-6,12.89873417721519,233671.70042194094,21.57215189873418,53.43407172995781,0.0,210.4838953586498,1.1539160337552743,16666.649282700422,65.25,47.5
2020-05-23-1,7.856353591160221,116322.62983425414,24.483425414364643,43.57734806629834,0.0,206.05313093922652,1.7666558011049724,17901.5208839779,61.5,45.25
2020-05-23-2,10.851458885941645,111039.14854111406,21.646352785145886,54.84416445623342,0.0,269.0861376657825,1.3640665782493369,15459.541644562334,66.75,49.0
2020-05-23-3,16.114104595879557,264064.50713153725,18.584904912836766,69.59627575277338,0.0,305.0809893819334,1.2277557844690967,16809.907131537242,47.0,30.25
